"review_id","star_rating","helpful_votes","total_votes","vine","verified_purchase"
"R10000BVML0496",5,7,9,"N","N"
"R10000LJKGSB5P",5,56,56,"N","Y"
"R10001YDZII5ZW",5,0,0,"N","N"
"R10003EHDBEXOQ",5,0,0,"N","Y"
"R10003NYOUFBF4",5,0,0,"N","Y"
"R100053T8GFL4A",4,0,0,"N","Y"
"R10006TX0U24MT",5,0,0,"N","Y"
"R100083SCCTEDP",4,1,1,"N","Y"
"R100084D2DBT9J",5,0,0,"N","Y"
"R10008KP2ESQAU",5,0,0,"N","Y"
"R100097H0NGE27",5,0,0,"N","Y"
"R10009KG29GSAK",1,1,1,"N","Y"
"R10009Q5E8YT9E",5,0,0,"N","Y"
"R10009YGRN0XPO",5,1,1,"N","Y"
"R1000AJ56EL7MS",5,0,0,"N","Y"
"R1000AL4JRNMW6",5,0,0,"N","Y"
"R1000AR6X8V9Y2",5,0,0,"N","Y"
"R1000BVD1EPVJM",5,0,1,"N","Y"
"R1000E2KBT0PD7",5,0,0,"N","Y"
"R1000EC1J7G4GE",1,4,6,"N","N"
"R1000ED5HYS9X3",5,0,0,"N","Y"
"R1000HJU5WKAUK",5,0,0,"N","Y"
"R1000HQZ44GKVU",4,1,2,"N","Y"
"R1000I18R6HKKA",5,4,4,"N","Y"
"R1000JC4IL97YX",3,0,3,"N","Y"
"R1000JLP1DHCKE",3,2,2,"N","N"
"R1000JTKNBNFCU",5,0,0,"N","Y"
"R1000JW5B93Q6F",5,1,1,"N","Y"
"R1000LHU60VE58",4,12,13,"N","Y"
"R1000LM3OROJIT",5,0,0,"N","Y"
"R1000LTM1UGCKV",5,0,0,"N","Y"
"R1000MJJC15SU8",1,2,2,"N","Y"
"R1000MN3CR5BF8",4,0,0,"N","Y"
"R1000NP70WHOEE",2,79,96,"N","Y"
"R1000PF3QEDC4A",5,0,0,"N","Y"
"R1000PZ4K3B8MM",5,0,0,"N","Y"
"R1000SLA3NPN6M",2,0,0,"N","Y"
"R1000SNASBR6CP",5,0,0,"N","Y"
"R1000WAD6M8FKF",5,0,0,"N","Y"
"R1000X7GE31JJH",4,2,2,"N","Y"
"R1000YQP4WRIU4",4,0,1,"N","N"
"R1000YTBBDVY3W",4,0,0,"N","Y"
"R1000Z95YC29CQ",5,0,1,"N","Y"
"R10010HTJSY682",5,0,0,"N","Y"
"R10011QS7JRODN",5,3,5,"N","Y"
"R10013I9KAO1UO",1,0,1,"N","Y"
"R10014QGONAQBA",4,0,0,"N","Y"
"R10014WLGOLG9X",5,0,0,"N","N"
"R10015NWT66EWU",5,0,0,"N","Y"
"R10016CCR6JGM",5,17,17,"N","Y"
"R10016OJLD925C",4,1,1,"N","Y"
"R10017NQ8CTU53",3,0,0,"N","Y"
"R10018I51WAQT",5,0,0,"N","Y"
"R1001AMRGXGB7A",5,0,0,"N","Y"
"R1001B2TKVSG64",5,15,15,"N","Y"
"R1001BXKJRFPCM",5,0,0,"N","N"
"R1001CH5YMSOUD",1,3,3,"N","N"
"R1001JM60P2N7I",3,0,0,"N","Y"
"R1001KIAR50UQ1",5,1,1,"N","N"
"R1001L797KKFM1",5,0,0,"N","Y"
"R1001M0ACXSGVY",1,1,1,"N","Y"
"R1001O5ADEIHV1",5,0,0,"N","Y"
"R1001Q4DC3KJ9M",5,8,9,"N","Y"
"R1001QYBOMIGSK",5,2,2,"N","Y"
"R1001RCEWYJQYY",5,0,0,"N","N"
"R1001RI8KT9D2Z",2,0,0,"N","Y"
"R1001S2F6RQBJN",5,0,0,"N","Y"
"R1001UKGMMMHB3",4,7,8,"N","Y"
"R1001UUQ0OFTPP",5,1,1,"N","Y"
"R1001YYRCSGH5S",4,1,1,"N","Y"
"R10020E2WEUN3V",5,40,42,"N","Y"
"R1002198M7WIVP",5,0,0,"N","Y"
"R100228TOJRXXB",2,0,0,"N","Y"
"R100230P5MUHAE",4,0,0,"N","Y"
"R10023Q722J82J",5,0,0,"N","Y"
"R10023T13EWXSK",4,0,4,"N","Y"
"R100250IFO58IT",4,0,0,"N","Y"
"R10025JQOVZQSP",5,0,0,"N","Y"
"R10025MTOY2DY5",5,0,0,"N","Y"
"R1002AQWBL041M",4,2,2,"N","Y"
"R1002ASDWBR355",5,0,0,"N","Y"
"R1002CROK3OSBW",4,0,0,"N","Y"
"R1002E85PJI1NX",5,0,1,"N","Y"
"R1002EA4BR0ANC",5,0,0,"N","Y"
"R1002JAG2RDZS9",5,1,2,"N","N"
"R1002JB3BRWV7J",5,0,0,"N","Y"
"R1002JDNGF1ZHY",5,0,0,"N","Y"
"R1002K3I9LEQA",5,1,2,"N","Y"
"R1002K7NEDGBN1",5,2,2,"N","N"
"R1002KURC652NN",2,0,0,"N","Y"
"R1002L35A85OV7",2,1,1,"N","Y"
"R1002LMB9XXNIR",4,0,0,"N","N"
"R1002LQ28D1VTT",5,0,0,"N","Y"
"R1002LX4158ZX6",5,0,0,"N","Y"
"R1002M9PIQ6TJC",3,1,2,"N","Y"
"R1002O1VVHD7I1",1,0,0,"N","N"
"R1002OAF1R8M6J",5,0,0,"N","Y"
"R1002Q4MD8XFIA",5,0,0,"N","Y"
"R1002QG835YO3I",5,0,1,"N","Y"
"R1002R16NSPSAH",5,0,1,"N","Y"
